Semestre;Ingressos_Vestibular;Ingressos_Graduados;Ingressos_Reabertura;Ingressos_Transferidos;Evasao
0;3145;345;774;537;1711
1;2458;271;639;954;1446
2;3014;313;616;755;1174
3;1896;295;717;510;1748
4;2532;242;609;475;1664
5;1656;245;633;498;1714
6;2652;227;746;413;1789
7;1246;176;565;376;1263
8;2487;173;578;357;1171
9;1209;150;475;224;1684
10;2439;154;528;259;1361
11;1111;173;478;214;1103
12;2476;212;469;347;1345
13;815;128;317;137;1023
14;2285;184;617;200;1331
15;1491;164;521;189;1602
16;2829;142;464;223;1697
17;1476;141;364;269;1775
18;4566;128;362;222;1622
